1,pepsi-white,201911282031057473
2,pepsi-black,201911282031064624
3,pepsi-white,201911282031085541
4,pepsi-black,201911282031096750
5,pepsi-blue,201911282031105651
6,pepsi-black,201911282031115779
7,pepsi-white,201911282031125764
8,pepsi-black,201911282031137097
9,pepsi-black,201911282031146253
10,pepsi-blue,201911282031157566
11,pepsi-white,201911282031165787
12,pepsi-white,201911282031176000
13,pepsi-blue,201911282031187441
8,bomb,201911282031196163
9,pepsi-black,201911282031229071
10,pepsi-blue,201911282031237837
11,pepsi-blue,201911282031266726
12,pepsi-blue,201911282031287937
13,pepsi-blue,201911282031297004
